name,cho_per_100g,calories_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,is_vegan,is_vegetarian,is_gluten_free,is_lactose_free,food_group,typical_serving_size_g
patatine fritte fritte,29.4,222,2.4,10.5,2.7,True,True,True,True,frutta,120
Pollo agrodolce,4.4,46,1.8,2.3,0.2,True,True,True,True,proteine,90
burrito con fagioli di manzo,47.0,460,27.8,18.0,7.2,True,True,True,False,proteine,90
nachos con zucchero alla cannella,63.4,592,7.2,36.0,0.0,True,True,True,True,dolcificanti,5
arroz con grandule,35.4,209,4.0,5.7,1.6,True,True,True,True,frutta,120
chili con carne,33.1,271,14.7,8.8,8.3,True,True,True,True,proteine,90
arroz con abichuelas,37.3,223,6.2,5.4,4.1,False,False,True,True,proteine,90
biscotto con salsiccia,33.3,412,10.7,27.1,0.4,True,True,True,False,carboidrati,100
stufato vegetariano,17.3,304,42.0,7.4,2.7,False,False,True,False,dolcificanti,5
panino al pollo con formaggio,41.6,632,29.4,38.8,0.0,True,True,True,True,proteine,90
biscotto con bistecca all'uovo,21.3,410,17.9,28.4,0.0,True,False,True,True,carboidrati,100
insalata di taco,17.9,212,10.0,11.2,0.0,False,False,False,False,frutta,120
succotash,46.8,213,9.7,1.5,0.0,True,True,True,True,frutta,120
nachos con peperoncino al formaggio,60.1,608,16.8,34.1,0.0,True,False,True,True,proteine,90
biscotto con prosciutto all'uovo,31.4,442,20.4,27.0,0.8,True,True,True,True,carboidrati,100
"LadyfingersCity name (optional, probably does not need a translation)",16.9,103,3.0,2.6,0.3,True,True,True,True,carboidrati,100
mozzarella bistecca fritta,7.7,102,4.6,5.9,0.6,True,True,True,True,proteine,90
tamale navajo,33.7,285,11.7,11.4,5.8,True,True,True,True,frutta,120
pancake ai mirtilli,11.0,84,2.3,3.5,0.0,False,True,False,True,grassi,15
chimichanga con formaggio di manzo,39.3,443,20.1,23.4,0.0,True,True,True,True,proteine,90
sandwich al formaggio d'uovo,25.9,340,15.6,19.4,0.0,True,False,True,True,proteine,90
biscotto con pancetta all'uovo,28.6,458,17.0,31.1,0.8,True,True,True,True,carboidrati,100
pupusas con questo,26.2,300,13.7,15.5,3.4,False,False,False,False,dolcificanti,5
Croissant di mele,21.1,145,4.2,5.0,1.4,True,True,True,False,carboidrati,100
fagioli rossi refred,36.0,336,11.7,16.1,11.0,True,True,True,True,proteine,90
tostada con guacamole,16.0,180,6.2,11.6,0.0,False,False,True,False,dolcificanti,5
panino al pollo,39.1,468,30.4,20.9,2.6,True,True,True,False,proteine,90
riso fritto,43.4,228,6.5,3.2,1.5,False,True,True,False,carboidrati,100
pupusas del cerdo,28.1,283,14.0,12.7,3.2,False,False,True,False,frutta,120
Torta di tacchino,70.3,699,25.8,34.9,4.4,True,True,True,False,carboidrati,100
Croissant al formaggio,37.6,331,7.4,16.7,2.1,True,True,True,True,carboidrati,100
chimichanga con manzo,42.8,425,19.6,19.7,0.0,True,True,True,True,proteine,90
toast alla francese con burro,18.0,178,5.2,9.4,0.0,True,True,True,True,grassi,15
sandwich al prosciutto uovo formaggio,30.9,347,19.2,16.3,0.0,True,True,True,True,proteine,90
muffin inglese con burro,30.4,189,4.9,5.8,0.0,True,True,True,True,carboidrati,100
pasta salata una cena padella tandaco,5.5,172,0.0,1.2,0.0,False,True,True,False,carboidrati,100
sandwich al formaggio di prosciutto,33.3,352,20.7,15.5,0.0,True,True,False,True,proteine,90
Pesce gelfilto dolce,3.1,35,3.8,0.7,0.0,True,True,True,True,proteine,90
uovo bracconato,0.4,72,6.3,4.7,0.0,True,False,True,True,proteine,90
tostada con formaggio di manzo,22.8,315,19.0,16.3,0.0,True,True,True,True,proteine,90
tostada con formaggio di fagioli,26.5,223,9.6,9.9,0.0,True,True,True,True,proteine,90
Tamale di maiale,22.4,247,10.4,12.8,3.4,True,True,False,False,dolcificanti,5
Nachos con formaggio,27.9,274,3.5,17.2,2.6,True,True,True,True,proteine,90
maiale tirato in salsa barbecue,46.7,418,32.8,11.0,3.0,True,True,True,True,condimenti,10
patate al forno con salsa di formaggio,46.5,474,14.6,28.7,0.0,True,False,True,True,proteine,90
fagioli al forno,43.3,310,11.1,10.3,11.0,False,False,True,True,proteine,90
arroz con frijoles,35.6,220,6.8,5.6,5.0,True,True,True,True,frutta,120
taco con lattuga al formaggio di manzo,13.7,156,6.1,8.8,2.7,True,True,True,True,verdura,80
burrito con fagioli formaggio manzo,19.8,165,7.3,6.6,0.0,True,True,True,True,proteine,90
miscela di uova,0.098,30,2.4,2.2,0.0,False,False,True,False,dolcificanti,5
falafel,5.4,57,2.3,3.0,0.0,True,True,True,True,frutta,120
insalata di taco con peperoncino con carne,17.7,193,11.6,8.8,0.0,True,True,False,False,proteine,90
wonton wrappers,18.5,93,3.1,0.5,0.6,True,True,True,True,condimenti,10
"hushpuppiesCity name (optional, probably does not need a translation)",69.9,512,11.7,20.5,4.3,True,True,True,True,dolcificanti,5
torta di pollo,57.3,598,14.6,34.6,3.0,True,True,True,False,carboidrati,100
pollo tsos generale,128.3,1578,69.0,87.5,4.8,True,True,True,False,proteine,90
burrito con formaggio di fagioli,57.8,379,13.6,11.2,7.8,True,True,True,True,proteine,90
filetti vegetariani,7.7,247,19.6,15.3,5.2,False,False,False,False,grassi,15
biscotto con salsiccia all'uovo,34.1,505,18.0,33.6,0.3,True,True,True,True,carboidrati,100
Chow mein di pollo,50.1,513,40.8,16.9,6.0,True,True,True,True,proteine,90
burrito di frutta,35.0,231,2.5,9.5,0.0,True,False,True,False,frutta,120
arroz con leche,63.0,369,8.1,9.3,1.3,False,True,True,True,frutta,120
caramello crema pasticcera flan,69.7,444,13.9,12.3,0.0,True,True,True,True,carboidrati,100
dessert di gelatina,38.3,167,3.3,0.0,0.0,True,True,True,True,condimenti,10
dessert al cioccolato al latte,51.6,229,5.9,1.4,0.0,True,True,True,True,proteine,90
mousse al cioccolato,24.1,338,6.2,24.0,0.9,True,False,True,True,dolcificanti,5
dulce de leche,10.5,60,1.3,1.4,0.0,False,True,True,False,frutta,120
mela croccante,87.0,454,4.9,9.7,3.9,True,True,False,True,frutta,120
Spaghetti agli spinaci cotti,36.6,182,6.4,0.9,0.0,False,False,True,True,carboidrati,100
pasta di mais cotta,39.1,176,3.7,1.0,6.7,False,False,True,False,carboidrati,100
spaghetti con salsa di carne,43.1,255,14.3,2.9,5.1,True,True,True,False,carboidrati,100
pasta con polpette in salsa di pomodoro,28.3,273,10.6,13.0,6.9,False,False,True,False,carboidrati,100
tortellini al formaggio,50.8,332,14.6,7.8,2.1,True,True,True,True,proteine,90
pasta con fragranze affettate in salsa di pomodoro,32.0,227,11.0,6.0,4.0,False,False,True,False,carboidrati,100
lasagne,18.9,166,9.0,6.1,2.1,True,True,True,True,carboidrati,100
maccheroni,43.7,310,12.6,9.4,2.3,True,True,True,True,frutta,120
lasagne vegetali,32.2,316,15.6,13.7,4.3,False,True,True,False,verdura,80
tagliatelle d'uovo di spinaci cotte,38.8,211,8.1,2.5,3.7,True,False,True,True,verdura,80
lasagne di formaggio,33.6,316,15.9,13.0,4.1,True,True,True,True,proteine,90
pasta con sugo di pomodoro,35.1,176,5.6,1.8,2.3,True,True,True,False,carboidrati,100
pasta di spinaci cotta,7.1,37,1.4,0.3,0.0,False,False,True,False,carboidrati,100
Zuppa di pollo vegetale,21.1,166,12.3,4.8,1.0,True,True,True,False,proteine,90
Zuppa di prosciutto di fagioli,33.5,198,10.3,2.5,9.8,True,True,True,True,proteine,90
crema di zuppa di pollo,18.0,227,6.0,14.5,0.0,True,True,True,True,proteine,90
zuppa di pomodoro in scatola,22.6,139,6.3,3.3,1.5,False,False,True,False,verdura,80
Zuppa a goccia d'uovo,10.3,65,2.8,1.5,1.0,True,True,True,False,proteine,90
brodo di scotch,23.0,197,12.1,6.4,3.0,True,True,True,True,condimenti,10
crema di zuppa di cipolla,31.7,268,6.7,12.8,1.2,True,True,True,True,verdura,80
brodo di pollo secco,1.1,10,0.7,0.2,0.0,True,True,True,False,proteine,90
zuppa di verdure con brodo di manzo,26.3,162,6.0,3.8,3.2,True,True,True,True,proteine,90
peperoncino con fagioli in scatola,30.5,287,14.6,14.1,11.3,True,True,True,True,proteine,90
Zuppa di tagliatelle di manzo,17.9,168,9.6,6.2,1.5,True,True,True,False,proteine,90
consomme secco,1.9,17,2.2,0.2,0.0,True,True,True,True,condimenti,10
Zuppa di funghi di pollo,15.1,126,2.0,6.1,4.0,True,True,True,False,proteine,90
Zuppa di verdure di manzo,15.4,120,8.0,2.9,3.0,True,True,True,True,proteine,90
Zuppa di fagioli neri,39.6,234,12.4,3.4,17.5,False,True,True,True,proteine,90
Zuppa di piselli spaccata con pancetta di prosciutto,28.6,189,11.6,3.1,4.1,True,True,False,True,proteine,90
crema di zuppa di funghi,17.1,199,3.4,13.4,1.8,False,True,True,True,frutta,120
Zuppa di piselli verdi,51.7,320,16.7,5.7,10.0,False,False,True,False,frutta,120
Zuppa di brodo di pollo,1.9,78,11.1,2.6,0.0,True,True,True,True,proteine,90
Zuppa di zuppa di funghi di pollo,38.3,431,16.2,23.7,7.5,True,True,True,True,proteine,90
Zuppa di gnocchi di pollo,14.7,235,13.6,13.4,1.2,True,True,True,True,carboidrati,100
Zuppa di verdure di pollo,17.0,148,7.1,5.6,1.7,True,True,True,True,proteine,90
Zuppa di verdure di tacchino,8.6,72,3.1,3.0,0.5,True,True,True,True,verdura,80
zuppa di wonton,11.7,71,4.6,0.6,0.4,True,True,True,True,frutta,120
stock di carne bovina,2.9,31,4.7,0.2,0.0,True,True,True,True,proteine,90
Zuppa d'orzo ai funghi,29.3,186,4.6,5.5,0.0,False,False,True,False,carboidrati,100
Zuppa di gazpacho,6.6,70,10.7,0.4,0.7,True,True,True,True,frutta,120
Zuppa di funghi di manzo,15.9,186,14.0,7.3,0.6,True,True,True,False,proteine,90
Zuppa di riso di pollo,13.0,127,12.3,3.2,1.0,True,True,True,False,carboidrati,100
Zuppa di peperoni,9.1,100,6.2,4.5,0.5,False,False,False,True,condimenti,10
Zuppa di verdure,24.6,149,4.3,4.0,1.3,True,True,True,True,verdura,80
Zuppa di peperoncino,49.6,308,13.4,6.7,6.6,False,False,True,True,condimenti,10
Zuppa di pollo,16.9,174,12.4,6.5,1.5,True,True,True,False,proteine,90
fagiolo con zuppa di frankfurters,22.0,188,10.0,7.0,0.0,True,True,True,True,frutta,120
Zuppa di piselli,25.6,161,8.3,2.8,4.9,False,True,True,True,grassi,15
Zuppa di tacchino,14.1,135,10.2,4.4,0.0,True,True,True,True,frutta,120
Zuppa di stockpot,23.1,201,9.8,7.8,0.0,True,True,True,True,frutta,120
zuppa acida calda,10.1,91,6.0,2.8,1.2,False,False,True,True,frutta,120
Zuppa di formaggio,28.0,203,2.0,9.7,5.5,True,True,True,True,proteine,90
crema di zuppa di patate,32.2,186,3.8,4.7,3.3,True,True,True,True,frutta,120
fagiolo con zuppa di pancetta,16.4,106,5.5,2.1,9.0,True,True,True,True,frutta,120
stock ittici,0.0,40,5.3,1.9,0.0,True,True,True,True,grassi,15
Zuppa di piselli spaccata con prosciutto,56.2,381,20.7,8.9,4.6,True,True,False,True,proteine,90
Zuppa di brodo di manzo,0.01,17,2.7,0.5,0.0,True,True,True,True,proteine,90
zuppa di lenticchie con prosciutto,20.2,139,9.3,2.8,0.0,True,True,False,True,proteine,90
Zuppa di pomodoro,22.5,98,2.2,0.7,1.6,False,False,True,False,verdura,80
brodo di pesce,1.0,39,4.9,1.5,0.0,True,True,True,True,proteine,90
peperoncino senza fagioli in scatola,14.6,283,18.1,17.0,0.0,False,False,True,False,proteine,90
Zuppa di minestrone,22.6,167,8.6,5.0,2.0,True,True,True,True,carboidrati,100
Zuppa di zuppa di zuppa di vongole,24.5,154,4.4,4.4,3.0,True,True,True,True,frutta,120
Zuppa di pomodori,9.9,54,1.9,0.8,0.7,False,False,True,True,dolcificanti,5
crema di riso colpo di stato,28.1,127,2.2,0.2,0.2,True,True,True,True,carboidrati,100
crema di zuppa di sedano,17.7,181,3.3,11.2,1.5,True,False,True,True,verdura,80
sugo di pollo,12.9,188,4.6,13.6,1.0,True,True,True,False,proteine,90
Zuppa di riso al pomodoro,44.1,240,4.2,5.5,3.4,False,False,True,False,carboidrati,100
Zuppa di manzo vegetale,9.6,128,18.1,2.0,4.4,True,True,True,True,proteine,90
Zuppa di tagliatelle di manzo di pomodoro,42.3,281,8.9,8.6,3.0,True,True,True,True,verdura,80
Zuppa di stufato di ostriche,8.2,118,4.2,7.7,0.0,False,True,True,True,frutta,120
minestra di ramen asciutta,53.9,371,8.9,13.3,2.0,False,True,False,True,carboidrati,100
Zuppa di tagliatelle di pollo,18.4,145,7.2,4.7,2.7,True,True,True,False,proteine,90
Bouillon di pollo secco,0.7,11,0.7,0.6,0.0,True,True,True,False,proteine,90
crema di zuppa di asparagi,21.5,174,4.6,8.2,1.0,True,True,True,True,condimenti,10
Zuppa di tagliatelle di tacchino,17.3,139,7.8,4.0,1.5,True,True,True,True,dolcificanti,5
crema di zuppa di gamberetti,16.5,181,5.6,10.4,0.5,True,True,True,True,frutta,120
fagiolo con zuppa di maiale,44.1,335,15.3,11.5,15.3,True,True,False,False,frutta,120
brodo di pollo,1.0,12,1.0,0.5,0.0,True,True,True,True,proteine,90
Brodo di manzo in polvere,0.6,8,0.6,0.3,0.0,True,True,True,True,proteine,90
Zuppa di piselli spaccata,29.9,180,9.7,2.3,4.8,False,True,True,False,dolcificanti,5
zuppa di scarola,4.0,61,3.4,4.0,0.0,False,False,True,True,frutta,120
brodo di pollo,8.5,86,6.0,2.9,0.0,True,True,True,True,proteine,90
zuppa di pomodoro biscotto,47.7,248,4.5,5.0,2.1,False,False,True,True,carboidrati,100
Zuppa di pinne di squalo,8.2,99,6.9,4.3,0.0,True,False,True,True,frutta,120
Zuppa di cipolle,16.4,113,7.5,3.5,1.7,True,False,True,True,frutta,120
Zuppa di pollo gumbo,16.8,113,5.3,2.9,4.0,True,True,True,False,proteine,90
Zuppa di granchio,12.5,95,10.4,0.8,2.4,True,True,True,True,frutta,120
zuppa di trippa,8.1,148,17.2,5.2,0.0,False,True,True,False,frutta,120
piccolo pranzo india,2.0,164,0.0,10.6,0.0,True,True,True,True,carboidrati,100
originale pollo sandwich pulcino fil a,0.0,125,0.0,5.1,0.0,True,True,True,False,proteine,90
Salsiccia mcmuffin mcdonalds,28.2,383,14.6,24.2,1.6,True,True,True,True,carboidrati,100
salsiccia mcgriddles mcdonalds,42.2,421,11.4,24.0,1.4,True,True,True,True,proteine,90
pollo croccante drumstick kentucky pollo fritto,0.0,70,10.6,3.0,0.0,True,True,True,True,proteine,90
pollo croccante drumsticks Kentucky pollo fritto,4.5,156,11.8,10.1,0.0,True,True,True,True,proteine,90
pollo fritto kentucky biscotto,22.1,185,3.8,9.1,0.8,True,True,True,True,carboidrati,100
muffin mcdonalds inglese,2.9,97,5.7,2.3,0.2,True,True,True,True,carboidrati,100
patatine fritte mcdonalds,49.8,378,4.0,18.1,4.6,True,True,True,True,frutta,120
"hotdogCity name (optional, probably does not need a translation)",28.5,383,16.4,23.0,0.0,True,True,True,True,condimenti,10
patatine fritte hamburger re,28.6,207,2.4,9.2,2.1,True,True,True,True,frutta,120
taco originale con lattuga di manzo taco campana,13.7,158,6.1,8.8,2.7,True,True,True,False,verdura,80
hotdog con peperoncino,31.3,296,13.5,13.4,0.0,True,True,True,True,condimenti,10
pollo croccante ali Kentucky pollo fritto,5.1,148,9.2,10.1,0.0,True,True,True,True,proteine,90
uovo bianco delizia mcdonalds,0.0,250,0.0,16.0,0.0,True,False,True,True,proteine,90
french toast sticks hamburger king,8.7,73,1.3,3.7,0.3,True,True,True,True,condimenti,10
mcchicken mcdonalds,36.6,358,13.7,17.3,1.7,True,True,True,True,condimenti,10
nachos suprema taco campana,45.0,480,14.8,26.6,8.0,True,False,True,True,condimenti,10
pollo croccante ala Kentucky pollo fritto,1.3,104,12.6,5.3,0.0,True,True,True,True,proteine,90
pollo strisce hamburger re,7.4,105,6.6,5.5,0.5,True,True,True,True,proteine,90
pollo croccante petto kentucky pollo fritto,0.4,214,38.2,6.7,0.0,True,True,True,True,proteine,90
salsiccia biscotto McDonalds,31.8,440,11.3,29.7,1.4,True,True,True,True,carboidrati,100
salsiccia burrito mcdonalds,24.2,339,13.0,17.1,1.2,True,True,True,True,proteine,90
anelli di cipolla fritti,2.8,27,0.3,1.6,0.2,False,False,False,False,verdura,80
anelli di cipolla hamburger re,39.7,379,3.5,23.0,2.5,False,False,False,False,verdura,80
Tacchino patty fritto,4.4,79,3.9,5.0,0.1,True,True,True,True,frutta,120
Hotcakes con sciroppo mcdonalds,101.8,601,9.0,17.8,2.0,True,True,True,True,dolcificanti,5
pollo croccante coscia Kentucky pollo fritto,0.0,163,20.4,9.1,0.0,True,True,True,True,proteine,90
Cane di mais,21.0,195,6.7,9.4,0.8,False,True,True,True,dolcificanti,5
scatola di pollo mcdonalds,5.5,70,0.2,4.0,0.0,True,True,True,True,proteine,90
pollo fritto Kentucky zeppa di patate,45.0,379,5.4,19.8,4.2,True,True,True,True,proteine,90
Uova strapazzate di mcdonalds,0.9,98,7.7,7.5,0.0,False,True,True,False,dolcificanti,5
uovo muffin mcdonalds,27.3,287,17.2,12.2,1.4,True,True,True,True,carboidrati,100
nachos taco campana,36.0,362,5.1,21.9,3.8,True,True,True,True,condimenti,10
biscotto grande mcdonalds,39.4,310,5.5,14.4,1.8,True,True,True,True,carboidrati,100
pollo croccante strisce di pollo kentucky pollo fritto,6.4,129,9.5,7.2,0.7,True,True,True,True,proteine,90
Hotcakes mcdonalds,19.0,113,3.0,2.9,0.7,True,True,True,True,condimenti,10
pollo croccante petto Kentucky pollo fritto,11.9,375,29.7,23.2,0.0,True,True,True,True,proteine,90
Hotcakes salsiccia mcdonalds,102.4,776,15.5,34.9,2.1,True,True,True,True,proteine,90
pollo mcnuggets mcdonalds,2.4,48,2.5,3.2,0.0,True,True,True,True,proteine,90
chips chipotle,2.1,151,0.2,7.1,0.0,True,True,True,True,carboidrati,100
biscotto McDonalds,33.3,261,4.7,12.2,1.5,True,True,True,True,carboidrati,100
ciotola di riso con pollo,6.4,36,1.6,0.4,0.2,True,True,True,False,carboidrati,100
spaghetti con polpette,22.9,200,8.7,8.2,5.4,True,True,True,True,carboidrati,100
ravioli di carne in scatola,36.0,259,8.9,8.9,4.2,True,True,False,False,proteine,90
ravioli di formaggio in scatola,33.0,186,6.0,3.5,3.1,True,True,True,True,proteine,90
premium croccante pollo ranch blt sandwich mcdonalds,59.8,586,35.3,22.9,3.4,True,True,True,True,proteine,90
sandwich alla bistecca,52.0,459,30.3,14.1,0.0,False,False,False,True,carboidrati,100
cheeseburger hamburger re,31.5,380,19.4,19.7,3.7,True,True,True,True,condimenti,10
cheeseburger mcdonalds,33.1,313,15.4,14.0,1.3,True,True,True,True,condimenti,10
doppio cheeseburger,41.0,643,37.0,36.9,2.1,True,True,True,True,dolcificanti,5
doppio hamburger,51.4,942,52.1,58.6,5.2,False,True,True,True,dolcificanti,5
premium grigliato pollo classico sandwich mcdonalds,44.6,366,28.3,8.6,2.8,True,True,True,True,proteine,90
